	Verb_Address	Verb_Afun	Verb_Tag	Sbj_Tag	Pnom_Tag	Verb_Lemma	isValid	note
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##204.1	204.1	Pred	v3piia---	n-p---fn-	v-prpefn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##219.4	219.4	Pred	v3piia---	a-p---mn-	v-pppamn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##225.1	225.1	Pred	v3siia---	n-s---mn-	a-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##259.2	259.2	Adv	v-sppafg-	n-s---fg-	v3siia---	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##290.1	290.1	Pred	v3siia---	n-s---nn-	a-s---nn_	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##292.42	292.42	Adv	v--pna---	n-s---na-	a-s---na-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##315.1	315.1	Pred	v3siia---	n-s---mn-	v-sppamn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##316.1	316.1	Pred	v3spia---	p-p---nn-	a-p---nns	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##320.1	320.1	Pred	v3piia---	n-p---fn-	a-p---fnc	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##338.22	338.22	Obj	v3siia---	v--pna---	a-s---nn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##342.1	342.1	Pred	v3siia---	n-s---mn-	p-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##358.14	358.14	Sb	v--pna---	n-p---fa-	a-p---fa-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##375.19	375.19	Adv	v-pppamg-	n-p---mg-	a-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##404.7	404.7	Obj	v-sppafa-	n-s---fa-	a-s---fa-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##407.18	407.18	Obj	v-pppama-	n-p---ma-	a-p---ma-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##408.33	408.33	Obj	v--fnm---	n-p---ma-	a-p---mac	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##413.9	413.9	Pred	v3siia---	n-s---fn-	a-s---fn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##461.20	461.2	Obj	v3siia---	v--ana---	n-s---fn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##466.9	466.9	Pred	v3siia---	n-s---mn-	n-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##469.7	469.7	Adv	v-sppamg-	v-sppemg-	n-s---mg-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##499.1	499.1	Pred	v3siia---	n-s---mn-	v-srpemn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##509.7	509.7	Obj	v--pna---	n-s---fa-	a-s---fa-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##564.10	564.1	Adv	v-sppang-	n-s---ng-	a-s---ng-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##644.20	644.2	Atr	v3piia---	a-p---fn-	v-prpefn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##683.6	683.6	Obj	v--pna---	v-prpema-	a-p---ma-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##694.8	694.8	Pred	v3siia---	n-s---mn-	n-s---mn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##714.10	714.1	Atr	v3spia---	v--ana---	a-s---nn-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##727.6	727.6	Obj	v-sppafa-	n-s---fa-	a-s---fa-	εἰμί	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##732.6	732.6	Pred	v3siia---	n-s---mn-	n-s---mn-	εἰμί	1	
