a-tlg0012.tlg002-5.305-s32068-w7	a-tlg0012.tlg002-5.305-s32068-w0	tlg0012.tlg002.perseus-grc1.5.tb.a.gz##167.0	a-tlg0012.	genre	subgenre	n-s---mn-	a-s---mn-	5	3	order	subtree	#Reconstructed
a-tlg0012.tlg001-19.167-19.170-s26869-w32	a-tlg0012.tlg001-19.167-19.170-s26869-w0	tlg0012.tlg001.perseus-grc1.19.tb.a.gz##96.0	a-tlg0012.	genre	subgenre	n-s---nn-	a-s---nn-	17	14	order	subtree	#Reconstructed
a-tlg0003.tlg001-1.2.1-s22746-w31	a-tlg0003.tlg001-1.2.1-s22746-w0	Thucydides_Book1.tb.a.gz##4.0	a-tlg0003.	genre	subgenre	a-p---mn-	v-pppamn-	20	23	order	subtree	#Reconstructed
a-tlg0012.tlg001-18.302-s9130-w4	a-tlg0012.tlg001-18.302-s9130-w0	tlg0012.tlg001.perseus-grc1.18.tb.a.gz##175.0	a-tlg0012.	genre	subgenre	v--ana---	a-s---nnc	5	3	order	subtree	εἰμί1
a-tlg0012.tlg002-6.153-6.155-s25120-w28	a-tlg0012.tlg002-6.153-6.155-s25120-w0	tlg0012.tlg002.perseus-grc1.6.tb.a.gz##88.0	a-tlg0012.	genre	subgenre	n-p---mn-	n-p---mn-	25	23	order	subtree	#Reconstructed
a-tlg0540.tlg023-12-s30-w19	a-tlg0540.tlg023-12-s30-w0	Lysias_Oration23.tb.a.gz##30.0	a-tlg0540.	genre	subgenre	v--rna---	a-s---nn-	3	1	order	subtree	#Reconstructed
a-tlg0011.tlg002-1195-s19291-w5	a-tlg0011.tlg002-1195-s19291-w0	tlg0011.tlg002.perseus-grc2.tb.a.gz##610.0	a-tlg0011.	genre	subgenre	n-s---fn-	a-s---nn-	2	1	order	subtree	#Reconstructed
a-tlg0012.tlg002-16.401-16.402-s29601-w5	a-tlg0012.tlg002-16.401-16.402-s29601-w0	tlg0012.tlg002.perseus-grc1.16.tb.a.gz##231.0	a-tlg0012.	genre	subgenre	v--pna---	a-s---nn-	6	1	order	subtree	εἰμί1
a-tlg0020.tlg001-1.452-s10480-w12	a-tlg0020.tlg001-1.452-s10480-w0	tlg0020.tlg001.perseus-grc1.tb.a.gz##183.0	a-tlg0020.	genre	subgenre	p-p---fn-	n-p---fn-	6	9	order	subtree	#Reconstructed
a-tlg0003.tlg001-1.32.5-s22938-w61	a-tlg0003.tlg001-1.32.5-s22938-w0	Thucydides_Book1.tb.a.gz##196.0	a-tlg0003.	genre	subgenre	v--pne---	n-s---fn-	42	35	order	subtree	#Reconstructed
a-tlg0012.tlg001-3.156-3.157-s26603-w15	a-tlg0012.tlg001-3.156-3.157-s26603-w0	tlg0012.tlg001.perseus-grc1.3.tb.a.gz##79.0	a-tlg0012.	genre	subgenre	v--pna---	n-s---fn-	13	2	order	subtree	#Reconstructed
a-tlg0012.tlg001-2.196-2.197-s31090-w4	a-tlg0012.tlg001-2.196-2.197-s31090-w0	tlg0012.tlg001.perseus-grc1.2.tb.a.gz##112.0	a-tlg0012.	genre	subgenre	n-s---mn-	a-s---mn-	1	3	order	subtree	εἰμί1
a-tlg0085.tlg002-878-886-s11896-w35	a-tlg0085.tlg002-878-886-s11896-w0	tlg0085.tlg002.perseus-grc2.tb.a.gz##380.0	a-tlg0085.	genre	subgenre	n-s---fn-	v-pppafn-	23	10	order	subtree	#Reconstructed
a-tlg0085.tlg003-40-41-s1066-w10	a-tlg0085.tlg003-40-41-s1066-w0	tlg0085.tlg003.perseus-grc2.tb.a.gz##23.0	a-tlg0085.	genre	subgenre	v--pna---	a-s---ma-	1	6	order	subtree	#Reconstructed
a-tlg0011.tlg005-915-s30147-w2	a-tlg0011.tlg005-915-s30147-w0	tlg0011.tlg005.perseus-grc2.tb.a.gz##496.0	a-tlg0011.	genre	subgenre	a-p---nn-	n-s---mg-	5	3	order	subtree	εἰμί1
a-tlg0003.tlg001-1.124.2-s23514-w18	a-tlg0003.tlg001-1.124.2-s23514-w0	Thucydides_Book1.tb.a.gz##772.0	a-tlg0003.	genre	subgenre	v--ana---	a-s---nn-	13	16	order	subtree	#Reconstructed
